Conversation 0 |When entering Catherine’s office
Agent Adams|This must be Catherine’s office.
;Conversation 1|Coverup
Agent Adams|There’s a memo here from the CEO to the head of the Accounting department. It says,
Agent Adams|“Frank, you really need to get it together man. We just got another HR complaint from Catherine.”
Agent Adams|“I can’t keep protecting you for much longer. We’ve been friends for years and I honestly don’t think I could keep this company afloat without you.”
Agent Adams|“But if you don’t start treating your employees better immediately I’ll have no choice but to fire you.”
;Conversation 2|Receipts
Agent Adams|I found receipts from personal purchases made by the head of Accounting.
Agent Adams|This guy had an industrial strength air conditioning unit installed at his home. His utilities bill must be unbelievable. 
Agent Adams|How does someone afford AC like that in this economy?
